GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Response.BodyHandlers,29,0,0,0,4,0,8,0,8,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Client.Session.new Client.Session() {...},8,0,0,0,3,0,3,0,3,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.AccessToken,42,0,0,0,12,0,6,0,6,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,InruptClientException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,VerifiablePresentation,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.DPoP,12,0,0,0,3,0,3,0,3,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.Registry,5,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Request.BodyPublishers,29,0,0,0,6,0,4,0,4,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,ByteBufferPublisher,21,0,0,0,7,0,4,0,4,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Request.Builder,114,0,0,0,26,0,15,0,15,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Headers,58,0,6,0,14,0,8,0,5,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Authenticator.Challenge,117,0,6,0,21,0,13,0,10,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,VerifiableCredential,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Syntax,54,0,0,0,6,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,ClientProvider,6,0,0,0,2,0,2,0,2,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,RDFNode,117,0,10,0,22,0,20,0,15,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Request,57,0,0,0,14,0,8,0,8,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client,Client.Session,4,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.spi,RdfService,12,0,0,0,2,0,2,0,2,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.spi,ClientProviderResolver,46,0,6,0,14,0,7,0,4,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.spi,ServiceProvider,120,0,18,0,33,0,14,0,5,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.util,URIBuilder,189,0,20,0,32,0,19,0,9,0
Inrupt Client Libraries - OpenID/inrupt-client-api,com.inrupt.client.util,IOUtils,98,0,0,0,26,0,8,0,8,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,WacAllow.Parser,74,0,4,0,20,0,7,0,5,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,WacAllow,110,0,8,0,21,0,11,0,7,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,Link.Parser.LinkListener,119,0,22,0,19,0,17,0,6,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,Link.Parser,87,0,4,0,23,0,7,0,5,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,DefaultRegistry,81,0,6,0,18,0,6,0,3,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,WacAllow.Parser.AccessParamListener,89,0,10,0,17,0,11,0,6,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,DefaultDpopService.DPoPManager,135,0,8,0,30,0,7,0,3,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,DefaultClient.Builder,24,0,2,0,6,0,4,0,3,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,UmaAuthenticationProvider,73,0,10,0,19,0,11,0,6,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,AuthenticationException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,WwwAuthenticate.Parser,74,0,4,0,20,0,7,0,5,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,WwwAuthenticate,54,0,2,0,11,0,6,0,5,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,DefaultDpopService,24,0,0,0,6,0,3,0,3,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,UmaAuthenticationProvider.NeedInfoHandler,61,0,6,0,14,0,7,0,4,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,WwwAuthenticate.Parser.ChallengeListener,79,0,10,0,15,0,9,0,4,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,DefaultClient,225,0,10,0,43,0,19,0,14,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,Link,170,0,10,0,27,0,15,0,10,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,UmaAuthenticationProvider.UmaAuthenticator,99,0,0,0,20,0,8,0,8,0
Inrupt Client Libraries - OpenID/inrupt-client-core,com.inrupt.client.core,DefaultClientProviderResolver,8,0,0,0,3,0,3,0,3,0
